"FIPS"	"File identification"	"State Postal Abbreviation"	"Summary Level"	"Geographic Component"	"Logical Record Number"	"US"	"Census Region"	"Census Division"	"State (Census Code)"	"State (FIPS Code)"	"County of current residence"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Statistical Area-Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Area"	"New England City and Town Combined Statistical Area"	"New England City and Town Area Division"	"Urban Area"	"Current Congressional District 116"	"State Legislative District Upper"	"State Legislative District Lower"	"5-digit ZIP Code Tabulation Area"	"Subminor Civil Division (FIPS)"	"State-School District (Elementary)"	"State-School District (Secondary)"	"State-School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Public Use Microdata Area - 5% File"	"Area Name"	"Tribal Tract"	"Tribal Block Group"	"Qualified Area Name"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More Races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More Races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More Races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More Races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More Races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More Races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"
"12"	"ACSSF"	"FL"	40	0	1	.	.	.	.	12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Florida"	.	.	"Florida"	21477737	16951309	4526428	2597783	1928645	78.93	21.07	12.1	8.98	21477737	15814108	11378457	3272904	42758	587358	13927	82214	436490	5663629	4631622	168158	16800	12441	2235	637311	195062	73.63	52.98	15.24	0.2	2.73	0.06	0.38	2.03	26.37	21.56	0.78	0.08	0.06	0.01	2.97	0.91	21477737	16010079	3441062	59558	599799	16162	719525	631552	74.54	16.02	0.28	2.79	0.08	3.35	2.94	10429967	9958518	471449	95.48	4.52
"13"	"ACSSF"	"GA"	40	0	1	.	.	.	.	13	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Georgia"	.	.	"Georgia"	10617423	9525543	1091880	502733	589147	89.72	10.28	4.73	5.55	10617423	9574781	5502156	3348754	19850	435875	5811	36739	225596	1042642	629543	42214	22466	3541	1136	284917	58825	90.18	51.82	31.54	0.19	4.11	0.05	0.35	2.12	9.82	5.93	0.4	0.21	0.03	0.01	2.68	0.55	10617423	6131699	3390968	42316	439416	6947	321656	284421	57.75	31.94	0.4	4.14	0.07	3.03	2.68	5254134	5002153	251981	95.2	4.8
"15"	"ACSSF"	"HI"	40	0	1	.	.	.	.	15	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Hawaii"	.	.	"Hawaii"	1415872	1142860	273012	160962	112050	80.72	19.28	11.37	7.91	1415872	1265008	305020	25195	3133	539409	140656	3631	247964	150864	36191	1728	2996	8434	11945	21066	68504	89.34	21.54	1.78	0.22	38.1	9.93	0.26	17.51	10.66	2.56	0.12	0.21	0.6	0.84	1.49	4.84	1415872	341211	26923	6129	547843	152601	24697	316468	24.1	1.9	0.43	38.69	10.78	1.74	22.35	698880	671768	27112	96.12	3.88
"16"	"ACSSF"	"ID"	40	0	1	.	.	.	.	16	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Idaho"	.	.	"Idaho"	1787065	1683953	103112	44416	58696	94.23	5.77	2.49	3.28	1787065	1557571	1458027	12349	18354	24186	2289	2487	39879	229494	138891	359	4513	1783	186	64941	18821	87.16	81.59	0.69	1.03	1.35	0.13	0.14	2.23	12.84	7.77	0.02	0.25	0.1	0.01	3.63	1.05	1787065	1596918	12708	22867	25969	2475	67428	58700	89.36	0.71	1.28	1.45	0.14	3.77	3.28	877350	848223	29127	96.68	3.32
"17"	"ACSSF"	"IL"	40	0	1	.	.	.	.	17	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Illinois"	.	.	"Illinois"	12671821	10905329	1766492	952604	813888	86.06	13.94	7.52	6.42	12671821	10455521	7690980	1759293	12938	710119	2897	22113	257181	2216300	1353079	30919	19662	7873	1614	708401	94752	82.51	60.69	13.88	0.1	5.6	0.02	0.17	2.03	17.49	10.68	0.24	0.16	0.06	0.01	5.59	0.75	12671821	9044059	1790212	32600	717992	4511	730514	351933	71.37	14.13	0.26	5.67	0.04	5.76	2.78	6606716	6286647	320069	95.16	4.84
"18"	"ACSSF"	"IN"	40	0	1	.	.	.	.	18	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Indiana"	.	.	"Indiana"	6732219	6373621	358598	150567	208031	94.67	5.33	2.24	3.09	6732219	6246665	5272268	632503	11852	169824	2726	14484	143008	485554	299631	10602	6564	742	528	136212	31275	92.79	78.31	9.4	0.18	2.52	0.04	0.22	2.12	7.21	4.45	0.16	0.1	0.01	0.01	2.02	0.46	6732219	5571899	643105	18416	170566	3254	150696	174283	82.76	9.55	0.27	2.53	0.05	2.24	2.59	3414811	3272727	142084	95.84	4.16
"19"	"ACSSF"	"IA"	40	0	1	.	.	.	.	19	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Iowa"	.	.	"Iowa"	3155070	2977301	177769	82451	95318	94.37	5.63	2.61	3.02	3155070	2957588	2684701	125861	9771	75672	1406	3158	57019	197482	150835	3474	2066	462	623	28793	11229	93.74	85.09	3.99	0.31	2.4	0.04	0.1	1.81	6.26	4.78	0.11	0.07	0.01	0.02	0.91	0.36	3155070	2835536	129335	11837	76134	2029	31951	68248	89.87	4.1	0.38	2.41	0.06	1.01	2.16	1680913	1618556	62357	96.29	3.71
"20"	"ACSSF"	"KS"	40	0	1	.	.	.	.	20	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Kansas"	.	.	"Kansas"	2913314	2704414	208900	85891	123009	92.83	7.17	2.95	4.22	2913314	2558510	2196485	161482	19238	85643	2092	4072	89498	354804	240417	5755	4622	1375	361	83001	19273	87.82	75.39	5.54	0.66	2.94	0.07	0.14	3.07	12.18	8.25	0.2	0.16	0.05	0.01	2.85	0.66	2913314	2436902	167237	23860	87018	2453	87073	108771	83.65	5.74	0.82	2.99	0.08	2.99	3.73	1512483	1455746	56737	96.25	3.75
"21"	"ACSSF"	"KY"	40	0	1	.	.	.	.	21	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Kentucky"	.	.	"Kentucky"	4467673	4271055	196618	83406	113212	95.6	4.4	1.87	2.53	4467673	4299656	3762699	357789	6894	72276	3903	6168	89927	168017	110992	5378	1432	811	309	34864	14231	96.24	84.22	8.01	0.15	1.62	0.09	0.14	2.01	3.76	2.48	0.12	0.03	0.02	0.01	0.78	0.32	4467673	3873691	363167	8326	73087	4212	41032	104158	86.7	8.13	0.19	1.64	0.09	0.92	2.33	2098310	1997773	100537	95.21	4.79
"22"	"ACSSF"	"LA"	40	0	1	.	.	.	.	22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"Louisiana"	.	.	"Louisiana"	4648794	4452219	196575	81975	114600	95.77	4.23	1.76	2.47	4648794	4398591	2707712	1494358	24272	81016	938	11477	78818	250203	167072	9659	4289	490	33	54411	14249	94.62	58.25	32.15	0.52	1.74	0.02	0.25	1.7	5.38	3.59	0.21	0.09	0.01	0	1.17	0.31	4648794	2874784	1504017	28561	81506	971	65888	93067	61.84	32.35	0.61	1.75	0.02	1.42	2	2158336	2040325	118011	94.53	5.47
