"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District ***"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"
"12"	"04000US12"	"Florida"	"Florida"	"fl"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	18089889	14664255	3425634	1549785	1875849	81.06	18.94	8.57	10.37	18089889	14446900	11040168	2700306	46767	385579	7127	63736	203217	3642989	2727080	78243	7383	7848	1998	706767	113670	79.86	61.03	14.93	0.26	2.13	0.04	0.35	1.12	20.14	15.08	0.43	0.04	0.04	0.01	3.91	0.63	18089889	13767248	2778549	54150	393427	9125	770503	316887	76.1	15.36	0.3	2.17	0.05	4.26	1.75	8825330	8344108	481222	94.55	5.45
"13"	"04000US13"	"Georgia"	"Georgia"	"ga"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	9363941	8504351	859590	271234	588356	90.82	9.18	2.9	6.28	9363941	8667795	5501019	2774395	16687	253808	3736	24726	93424	696146	315494	19905	3084	1091	493	331608	24471	92.57	58.75	29.63	0.18	2.71	0.04	0.26	1	7.43	3.37	0.21	0.03	0.01	0.01	3.54	0.26	9363941	5816513	2794300	19771	254899	4229	356334	117895	62.12	29.84	0.21	2.72	0.05	3.81	1.26	4692262	4366243	326019	93.05	6.95
"15"	"04000US15"	"Hawaii"	"Hawaii"	"hi"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1285498	1075336	210162	120587	89575	83.65	16.35	9.38	6.97	1285498	1185834	315822	26815	3117	501454	105515	1396	231715	99664	21685	1247	1036	11541	5973	13117	45065	92.25	24.57	2.09	0.24	39.01	8.21	0.11	18.03	7.75	1.69	0.1	0.08	0.9	0.46	1.02	3.51	1285498	337507	28062	4153	512995	111488	14513	276780	26.25	2.18	0.32	39.91	8.67	1.13	21.53	638345	610394	27951	95.62	4.38
"16"	"04000US16"	"Idaho"	"Idaho"	"id"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1466465	1384425	82040	27036	55004	94.41	5.59	1.84	3.75	1466465	1327594	1265241	6105	13708	14884	2021	666	24969	138871	91888	737	2542	451	0	36769	6484	90.53	86.28	0.42	0.93	1.01	0.14	0.05	1.7	9.47	6.27	0.05	0.17	0.03	0	2.51	0.44	1466465	1357129	6842	16250	15335	2021	37435	31453	92.54	0.47	1.11	1.05	0.14	2.55	2.14	729018	690638	38380	94.74	5.26
"17"	"04000US17"	"Illinois"	"Illinois"	"il"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	12831970	11058370	1773600	780039	993561	86.18	13.82	6.08	7.74	12831970	10943531	8357564	1879591	15407	531905	2826	25055	131183	1888439	717089	18755	7903	5087	375	1070556	68674	85.28	65.13	14.65	0.12	4.15	0.02	0.2	1.02	14.72	5.59	0.15	0.06	0.04	0	8.34	0.54	12831970	9074653	1898346	23310	536992	3201	1095611	199857	70.72	14.79	0.18	4.18	0.02	8.54	1.56	6636049	6155858	480191	92.76	7.24
"18"	"04000US18"	"Indiana"	"Indiana"	"in"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6313520	6049913	263607	92773	170834	95.82	4.18	1.47	2.71	6313520	6014122	5291080	549805	9315	79842	880	8748	74452	299398	136481	2059	1649	1212	398	142815	14784	95.26	83.81	8.71	0.15	1.26	0.01	0.14	1.18	4.74	2.16	0.03	0.03	0.02	0.01	2.26	0.23	6313520	5427561	551864	10964	81054	1278	151563	89236	85.97	8.74	0.17	1.28	0.02	2.4	1.41	3254182	3030454	223728	93.12	6.88
"19"	"04000US19"	"Iowa"	"Iowa"	"ia"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2982085	2869786	112299	41022	71277	96.23	3.77	1.38	2.39	2982085	2869098	2714414	66052	6416	45062	352	2217	34585	112987	58121	1245	2008	585	18	44388	6622	96.21	91.02	2.21	0.22	1.51	0.01	0.07	1.16	3.79	1.95	0.04	0.07	0.02	0	1.49	0.22	2982085	2772535	67297	8424	45647	370	46605	41207	92.97	2.26	0.28	1.53	0.01	1.56	1.38	1624576	1545059	79517	95.11	4.89
"20"	"04000US20"	"Kansas"	"Kansas"	"ks"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2764075	2590681	173394	60210	113184	93.73	6.27	2.18	4.09	2764075	2527724	2237607	151951	21084	60313	1145	1983	53641	236351	123440	1609	2665	333	0	91820	16484	91.45	80.95	5.5	0.76	2.18	0.04	0.07	1.94	8.55	4.47	0.06	0.1	0.01	0	3.32	0.6	2764075	2361047	153560	23749	60646	1145	93803	70125	85.42	5.56	0.86	2.19	0.04	3.39	2.54	1471477	1393597	77880	94.71	5.29
"21"	"04000US21"	"Kentucky"	"Kentucky"	"ky"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4206074	4094350	111724	40936	70788	97.34	2.66	0.97	1.68	4206074	4123059	3715900	308255	8958	38632	2735	4606	43973	83015	46671	1891	377	203	467	28006	5400	98.03	88.35	7.33	0.21	0.92	0.07	0.11	1.05	1.97	1.11	0.04	0.01	0	0.01	0.67	0.13	4206074	3762571	310146	9335	38835	3202	32612	49373	89.46	7.37	0.22	0.92	0.08	0.78	1.17	2017956	1878610	139346	93.09	6.91
"22"	"04000US22"	"Louisiana"	"Louisiana"	"la"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4287768	4162564	125204	59109	66095	97.08	2.92	1.38	1.54	4287768	4164487	2689206	1351044	23139	56414	715	8102	35867	123281	71027	5937	879	670	0	39109	5659	97.12	62.72	31.51	0.54	1.32	0.02	0.19	0.84	2.88	1.66	0.14	0.02	0.02	0	0.91	0.13	4287768	2760233	1356981	24018	57084	715	47211	41526	64.37	31.65	0.56	1.33	0.02	1.1	0.97	2011234	1853896	157338	92.18	7.82
