"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic GEOCOMP"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District 110"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More Races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More Races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More Races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More Races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More Races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More Races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"
"12"	"04000US12"	"Florida"	"Florida"	"fl"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	21299325	16823894	4475431	2545885	1929546	78.99	21.01	11.95	9.06	21299325	15736873	11344261	3252558	41492	580229	9694	81784	426855	5562452	4555313	158183	18378	13405	3147	626956	187070	73.88	53.26	15.27	0.19	2.72	0.05	0.38	2	26.12	21.39	0.74	0.09	0.06	0.01	2.94	0.88	21299325	15899574	3410741	59870	593634	12841	708740	613925	74.65	16.01	0.28	2.79	0.06	3.33	2.88	10265785	9734940	530845	94.83	5.17
"13"	"04000US13"	"Georgia"	"Georgia"	"ga"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10519475	9455402	1064073	480192	583881	89.88	10.12	4.56	5.55	10519475	9497721	5493804	3281137	17359	431551	11618	33630	228622	1021754	633841	38554	17126	4500	2431	267518	57784	90.29	52.23	31.19	0.17	4.1	0.11	0.32	2.17	9.71	6.03	0.37	0.16	0.04	0.02	2.54	0.55	10519475	6127645	3319691	34485	436051	14049	301148	286406	58.25	31.56	0.33	4.15	0.13	2.86	2.72	5203362	4953466	249896	95.2	4.8
"15"	"04000US15"	"Hawaii"	"Hawaii"	"hi"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1420491	1154344	266147	155756	110391	81.26	18.74	10.96	7.77	1420491	1269135	308375	26978	1976	521237	134876	1321	274372	151356	37277	1347	1261	13242	10095	16731	71403	89.34	21.71	1.9	0.14	36.69	9.5	0.09	19.32	10.66	2.62	0.09	0.09	0.93	0.71	1.18	5.03	1420491	345652	28325	3237	534479	144971	18052	345775	24.33	1.99	0.23	37.63	10.21	1.27	24.34	712135	684905	27230	96.18	3.82
"16"	"04000US16"	"Idaho"	"Idaho"	"id"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1754208	1648980	105228	45441	59787	94	6	2.59	3.41	1754208	1531744	1434463	10007	18867	26186	2222	1429	38570	222464	142383	2068	4159	840	541	57788	14685	87.32	81.77	0.57	1.08	1.49	0.13	0.08	2.2	12.68	8.12	0.12	0.24	0.05	0.03	3.29	0.84	1754208	1576846	12075	23026	27026	2763	59217	53255	89.89	0.69	1.31	1.54	0.16	3.38	3.04	840240	806802	33438	96.02	3.98
"17"	"04000US17"	"Illinois"	"Illinois"	"il"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	12741080	10949767	1791313	926873	864440	85.94	14.06	7.27	6.78	12741080	10532212	7760732	1759316	17215	711970	2887	24310	255782	2208868	1374413	33763	18631	5968	2430	688468	85195	82.66	60.91	13.81	0.14	5.59	0.02	0.19	2.01	17.34	10.79	0.26	0.15	0.05	0.02	5.4	0.67	12741080	9135145	1793079	35846	717938	5317	712778	340977	71.7	14.07	0.28	5.63	0.04	5.59	2.68	6662825	6294086	368739	94.47	5.53
"18"	"04000US18"	"Indiana"	"Indiana"	"in"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6691878	6337530	354348	144767	209581	94.7	5.3	2.16	3.13	6691878	6219459	5266285	628603	10560	152940	3249	15103	142719	472419	273642	8674	3480	1280	221	147200	37922	92.94	78.7	9.39	0.16	2.29	0.05	0.23	2.13	7.06	4.09	0.13	0.05	0.02	0	2.2	0.57	6691878	5539927	637277	14040	154220	3470	162303	180641	82.79	9.52	0.21	2.3	0.05	2.43	2.7	3388035	3238769	149266	95.59	4.41
"19"	"04000US19"	"Iowa"	"Iowa"	"ia"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3156145	2981008	175137	68344	106793	94.45	5.55	2.17	3.38	3156145	2964672	2695583	113562	9710	79643	2945	4000	59229	191473	150516	1575	1784	328	518	26713	10039	93.93	85.41	3.6	0.31	2.52	0.09	0.13	1.88	6.07	4.77	0.05	0.06	0.01	0.02	0.85	0.32	3156145	2846099	115137	11494	79971	3463	30713	69268	90.18	3.65	0.36	2.53	0.11	0.97	2.19	1676716	1615999	60717	96.38	3.62
"20"	"04000US20"	"Kansas"	"Kansas"	"ks"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2911510	2702148	209362	83900	125462	92.81	7.19	2.88	4.31	2911510	2563067	2201742	163132	21136	81824	2562	1963	90708	348443	245081	8009	5693	620	367	71330	17343	88.03	75.62	5.6	0.73	2.81	0.09	0.07	3.12	11.97	8.42	0.28	0.2	0.02	0.01	2.45	0.6	2911510	2446823	171141	26829	82444	2929	73293	108051	84.04	5.88	0.92	2.83	0.1	2.52	3.71	1499747	1442550	57197	96.19	3.81
"21"	"04000US21"	"Kentucky"	"Kentucky"	"ky"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4468402	4299056	169346	68807	100539	96.21	3.79	1.54	2.25	4468402	4306896	3776055	349542	6878	64830	4003	8661	96927	161506	98968	5219	1592	470	940	43226	11091	96.39	84.51	7.82	0.15	1.45	0.09	0.19	2.17	3.61	2.21	0.12	0.04	0.01	0.02	0.97	0.25	4468402	3875023	354761	8470	65300	4943	51887	108018	86.72	7.94	0.19	1.46	0.11	1.16	2.42	2105668	1995789	109879	94.78	5.22
"22"	"04000US22"	"Louisiana"	"Louisiana"	"la"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4659978	4464951	195027	77832	117195	95.81	4.19	1.67	2.51	4659978	4420024	2720774	1499008	22714	74845	606	10835	91242	239954	156341	10399	2943	1410	527	54531	13803	94.85	58.39	32.17	0.49	1.61	0.01	0.23	1.96	5.15	3.35	0.22	0.06	0.03	0.01	1.17	0.3	4659978	2877115	1509407	25657	76255	1133	65366	105045	61.74	32.39	0.55	1.64	0.02	1.4	2.25	2152802	2015672	137130	93.63	6.37
