id_no,state,id,year,enf_task_force_287g,enf_warrant_287g,enf_jail_287g,enf_secure_comms,enf_lim_coop_detainers,enf_everify,enf_limits_everify,enf_state_omnibus,pub_tanf_post5,pub_cashass_during5,pub_foodass_lprkids,pub_foodass_lpradults,pub_ssi_replacement,pub_medicaid_lprkids,pub_pubins_unauthkids,pub_pubins_lpradults,pub_pubins_unauthadult,pub_medicaid_lprpreg,pub_medicaid_unauthpreg,pub_medicaid_lpr_post5,int_instate_tuition,int_state_finaid,int_uni_ban,int_official_eng,int_drivers_license
3,Arizona,AZ,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Arizona,AZ,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Arizona,AZ,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Arizona,AZ,2003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Arizona,AZ,2004,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Arizona,AZ,2005,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Arizona,AZ,2006,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2007,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2008,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2009,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2010,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2011,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2012,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2013,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2014,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2015,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2016,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2017,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2018,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,Arizona,AZ,2019,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,Arkansas,AR,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,Arkansas,AR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,Arkansas,AR,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,Arkansas,AR,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,Arkansas,AR,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4,Arkansas,AR,2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2007,.5,0,.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2008,.5,0,.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2009,.5,0,.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2010,.5,0,.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2011,.5,0,.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2012,.5,0,.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2013,0,0,.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2014,0,0,.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2015,0,0,.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2016,0,0,.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2017,0,0,.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2018,0,0,.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
4,Arkansas,AR,2019,0,0,.5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
5,California,CA,2000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0
5,California,CA,2001,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2002,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2003,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2004,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2005,0,0,.5,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2006,0,0,.5,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2007,0,0,.5,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2008,0,0,.5,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2009,0,0,.5,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2010,0,0,.5,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
5,California,CA,2011,0,0,.5,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
5,California,CA,2012,0,0,.5,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
